SN,tree_id,install_date,
92245509,P2,7/12/24,
92245510,J3,7/12/24,
92245507,P13,7/12/24,
92245506,P11,7/12/24,
92245495,J5,7/12/24,
92245511,J6,7/12/24,
92245512,PCP728,7/12/24,
92245513,JCP738,7/12/24,
92245514,PCP754,7/12/24,
92245515,JCP292,7/12/24,
92245436,J20,4/9/25,
92245483,P20,4/9/25,
92245450,J21,4/9/25,
92245440,J22,4/9/25,
92245439,J23,4/9/25,
92245437,P21,4/9/25,
92245444,J24,4/27/25,
92245443,J25,4/27/25,
92245445,J26,4/27/25,
92245441,J27,4/27/25,
92245442,P22,4/27/25,
